"","Number","RCO2","BDCO2","RH2O","BDH2O"
"66",65,0.977878308749391,-0.0169009282180045,0.998722739677806,0.00127726032219366
"67",66,0.976316491489175,-0.0149877020742399,1.00697131133757,-0.00697131133756579
"68",67,0.990307472648099,-0.0321266539939213,1.01793654029917,-0.0179365402991705
"69",68,0.968938816456296,-0.0059500501589623,1.00839806009759,-0.00839806009759148
"70",69,0.983311216907191,-0.0235562407113094,1.01053739217329,-0.0105373921732941
"71",70,0.981360171999203,-0.0211662106990241,1.01163597848332,-0.0116359784833195
"72",71,0.97672273001784,-0.0154853442718546,1.00157773057552,-0.00157773057551691
"73",72,0.985734596260169,-0.0265248804187073,1.01358627089011,-0.0135862708901116
"74",73,0.986859088227564,-0.027902383078766,1.01551391685684,-0.0155139168568437
"75",74,0.984749905346855,-0.025318634049897,1.02826216734687,-0.0282621673468728
"76",75,0.979538982329391,-0.0189352533535042,1.02526743894695,-0.0252674389469523
"77",76,0.985931162045652,-0.0267656735059234,1.0063591251125,-0.00635912511250059
"78",77,0.974563913447643,-0.0128407939733627,1.02128590589657,-0.0212859058965746
"79",78,0.979411718632504,-0.0187793553248174,1.0286205877055,-0.0286205877055001
"80",79,0.977577975027788,-0.0165330194090401,1.00940620622143,-0.00940620622142618
"81",80,0.989355938088297,-0.0309610241581636,1.00932928171588,-0.00932928171587788
"82",81,0.967970109441987,-0.0047633840664341,1.02601473281797,-0.026014732817971
"83",82,0.992217068023073,-0.0344659083282649,1.02522314582134,-0.0252231458213412
"84",83,0.97844378521586,-0.0175936368894286,1.01339609360473,-0.0133960936047279
"85",84,0.981089828532112,-0.0208350399518371,0.99194289179298,0.00805710820701955
"86",85,0.983475689245746,-0.0237577193260391,1.01460786583543,-0.0146078658354314
"87",86,0.964467137331708,-0.000472243231342394,1.00146634880161,-0.00146634880160712
"88",87,0.962646366797564,0.00175820067298466,0.981355951611985,0.0186440483880149
"89",88,0.97120652699635,-0.00872799557052849,1.00085018192409,-0.000850181924090698
"90",89,0.995346002749791,-0.0382988533684943,1.01305263926351,-0.0130526392635084
"91",90,0.98149667530988,-0.0213334272546036,1.02406882204556,-0.0240688220455598
"92",91,0.976875946527516,-0.0156730344962069,1.03331776143252,-0.0333177614325204
"93",92,0.981499501718122,-0.0213368896046991,1.02748998858221,-0.0274899885822109
"94",93,0.969072492877068,-0.00611380377440814,1.0130531936696,-0.0130531936695963
"95",94,0.972606391834606,-0.0104428299973924,1.01675251308014,-0.0167525130801436
"96",95,0.976994748088167,-0.0158185664080051,1.02807697530142,-0.0280769753014152
